date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:09	24/24	---M--	200	added ('OK')	text/plain	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/robots.txt		(from )
14:48:09	636460/636460	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2007:47:54%20GMT	https://tb.co.th/	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/index.html	(from )
14:48:09	20332/20332	---MC-	200	added ('OK')	image/png	date:Tue,%2026%20Nov%202024%2005:33:43%20GMT	https://tb.co.th/logo.png	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/logo.png	(from https://tb.co.th/)
14:48:10	18351/18351	---MC-	200	added ('OK')	image/png	date:Tue,%2026%20Nov%202024%2005:33:43%20GMT	https://tb.co.th/apple-touch-icon.png	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/apple-touch-icon.png	(from https://tb.co.th/)
14:48:10	2269/2269	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/favicon-32x32.png	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/favicon-32x32.png	(from https://tb.co.th/)
14:48:10	1662/1662	---MC-	200	added ('OK')	image/png	date:Sat,%2026%20Oct%202024%2015:54:42%20GMT	https://tb.co.th/favicon-16x16.png	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/favicon-16x16.png	(from https://tb.co.th/)
14:48:10	325/325	---MCZ	200	added ('OK')	application/manifest+json	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/site.webmanifest	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/site.webmanifest	(from https://tb.co.th/)
14:48:10	1292/1292	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/safari-pinned-tab.svg	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/safari-pinned-tab.svg	(from https://tb.co.th/)
14:48:11	346621/346621	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/css/mdi/materialdesignicons.min.css	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/css/mdi/materialdesignicons.min.css	(from https://tb.co.th/)
14:48:11	346626/346626	---M-Z	200	added ('OK')	text/css	etag:W/%2254a02-OVjZUfBzAil15Q3gxxGhe/obcD8%22	https://cdn.jsdelivr.net/npm/@mdi/font@latest/css/materialdesignicons.min.css	d:/My%20Web%20Sites/tb.co.th1/cdn.jsdelivr.net/npm/@mdi/font@latest/css/materialdesignicons.min.css	(from https://tb.co.th/)
14:48:11	3850/3850	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2026%20Nov%202024%2005:33:43%20GMT	https://tb.co.th/js/social_external.js?v=3	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/js/social_external30f4.js	(from https://tb.co.th/)
14:48:11	96137/96137	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/js/jquery.min.js	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/js/jquery.min.js	(from https://tb.co.th/)
14:48:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2003%20Dec%202024%2007:47:57%20GMT	https://www.googletagmanager.com/gtm.js?id=	d:/My%20Web%20Sites/tb.co.th1/www.googletagmanager.com/gtm.a5445.delayed	(from https://tb.co.th/)
14:48:12	2508/2508	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2008%20Nov%202024%2011:55:33%20GMT	https://tb.co.th/_/55bc049f786417eef6df.js	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/_/55bc049f786417eef6df.js	(from https://tb.co.th/)
14:48:12	205860/205860	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2026%20Oct%202024%2015:54:42%20GMT	https://tb.co.th/_/ca2738b3eeae4b5dacfd.js	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/_/ca2738b3eeae4b5dacfd.js	(from https://tb.co.th/)
14:48:13	425781/425781	---MCZ	200	added ('OK')	text/css	date:Sat,%2026%20Oct%202024%2015:54:42%20GMT	https://tb.co.th/_/9beca320b096cb1e8a21.css	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/_/9beca320b096cb1e8a21.css	(from https://tb.co.th/)
14:48:13	601500/601500	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2026%20Nov%202024%2005:33:43%20GMT	https://tb.co.th/_/3eaa0d18e799160ea052.js	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/_/3eaa0d18e799160ea052.js	(from https://tb.co.th/)
14:48:13	167422/167422	---MCZ	200	added ('OK')	text/css	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/0fa729595ee90e362ab4.css	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/_/0fa729595ee90e362ab4.css	(from https://tb.co.th/)
14:48:14	182945/182945	---MC-	200	added ('OK')	image/png	date:Fri,%2008%20Nov%202024%2011:55:33%20GMT	https://tb.co.th/images/2.0/home-001.png	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/images/2.0/home-001.png	(from https://tb.co.th/)
14:48:14	2616661/2616661	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/26760a6cc9788e319eec.js	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/_/26760a6cc9788e319eec.js	(from https://tb.co.th/)
14:48:20	404520/404520	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2007:48:05%20GMT	https://tb.co.th/value	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/value.html	(from https://tb.co.th/)
14:48:28	404560/404560	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2007:48:13%20GMT	https://tb.co.th/promising	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/promising.html	(from https://tb.co.th/)
14:48:36	404563/404563	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2007:48:20%20GMT	https://tb.co.th/luxury	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/luxury.html	(from https://tb.co.th/)
14:48:40	404567/404567	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2007:48:25%20GMT	https://tb.co.th/commercial	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/commercial.html	(from https://tb.co.th/)
14:48:46	403586/403586	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2007:48:31%20GMT	https://tb.co.th/recommend	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/recommend.html	(from https://tb.co.th/)
14:48:51	403571/403571	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2007:48:36%20GMT	https://tb.co.th/latest	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/latest.html	(from https://tb.co.th/)
14:48:54	358932/358932	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2007:48:39%20GMT	https://tb.co.th/singlehome	d:/My%20Web%20Sites/tb.co.th1/tb.co.th/singlehome.html	(from https://tb.co.th/)
